,BIA,BIA Latitude,BIA Longitude,Venue ID,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Rating
0,Bloor-Yorkville,43.6704009979,-79.389159288,5b2d934e59c423002c0c6db6,Eataly,43.66975356278464,-79.3887197971344,Gourmet Shop,8.6
1,Bloor-Yorkville,43.6704009979,-79.389159288,5b2d934e59c423002c0c6db6,Eataly,43.66975356278464,-79.3887197971344,Gourmet Shop,8.6
2,Bloor Street,43.6699948748,-79.388413752,5b2d934e59c423002c0c6db6,Eataly,43.66975356278464,-79.3887197971344,Gourmet Shop,8.6
3,Bloor Street,43.6699948748,-79.388413752,5b2d934e59c423002c0c6db6,Eataly,43.66975356278464,-79.3887197971344,Gourmet Shop,8.6
4,Bloor-Yorkville,43.6704009979,-79.389159288,554ea8bd498efa064ec03031,Paramount Fine Foods,43.67067671443592,-79.38986486034777,Middle Eastern Restaurant,8.6
5,Bloor-Yorkville,43.6704009979,-79.389159288,5738ca80cd10b91a6747abde,Pi Co.,43.670107,-79.389852,Pizza Place,8.3
6,Bloor-Yorkville,43.6704009979,-79.389159288,57e074a7498ef24d3980d2f5,Planta Yorkville,43.670213457162674,-79.38951245082394,Vegetarian / Vegan Restaurant,7.7
7,Bloor-Yorkville,43.6704009979,-79.389159288,57e074a7498ef24d3980d2f5,Planta Yorkville,43.670213457162674,-79.38951245082394,Vegetarian / Vegan Restaurant,7.7
8,Bloor Street,43.6699948748,-79.388413752,57e074a7498ef24d3980d2f5,Planta Yorkville,43.670213457162674,-79.38951245082394,Vegetarian / Vegan Restaurant,7.7
9,Bloor Street,43.6699948748,-79.388413752,57e074a7498ef24d3980d2f5,Planta Yorkville,43.670213457162674,-79.38951245082394,Vegetarian / Vegan Restaurant,7.7
10,Bloor-Yorkville,43.6704009979,-79.389159288,4d249ace0e998cfa43b9253f,Starbucks,43.67034,-79.388262,Coffee Shop,7.7
11,Bloor-Yorkville,43.6704009979,-79.389159288,4d249ace0e998cfa43b9253f,Starbucks,43.67034,-79.388262,Coffee Shop,7.7
12,Bloor Street,43.6699948748,-79.388413752,4d249ace0e998cfa43b9253f,Starbucks,43.67034,-79.388262,Coffee Shop,7.7
13,Bloor Street,43.6699948748,-79.388413752,4d249ace0e998cfa43b9253f,Starbucks,43.67034,-79.388262,Coffee Shop,7.7
14,Bloor-Yorkville,43.6704009979,-79.389159288,4cbca3e6adcd5481db832fa2,Sandwich Box,43.67012296885367,-79.38954952593124,Sandwich Place,7.6
15,Bloor-Yorkville,43.6704009979,-79.389159288,4cbca3e6adcd5481db832fa2,Sandwich Box,43.67012296885367,-79.38954952593124,Sandwich Place,7.6
16,Bloor Street,43.6699948748,-79.388413752,4cbca3e6adcd5481db832fa2,Sandwich Box,43.67012296885367,-79.38954952593124,Sandwich Place,7.6
17,Bloor Street,43.6699948748,-79.388413752,4cbca3e6adcd5481db832fa2,Sandwich Box,43.67012296885367,-79.38954952593124,Sandwich Place,7.6
18,Bloor-Yorkville,43.6704009979,-79.389159288,580aea74d67c230d453b04aa,Brothers Restaurant,43.6704210468,-79.38979309219646,Restaurant,7.4
19,Bloor-Yorkville,43.6704009979,-79.389159288,4af85af6f964a520790c22e3,Freshii,43.67074761634238,-79.3898619815301,Salad Place,7.2
20,Little Italy,43.6553967901,-79.4143942315,562c2fc8498e7ab0c0eacd56,The Walton,43.65504502639942,-79.41436332102766,Café,9.2
21,Little Italy,43.6553967901,-79.4143942315,58b0e82d5d6ec60662cbda46,Pinky's Ca Phe,43.65553023379977,-79.4138787532894,Asian Restaurant,8.8
22,Little Italy,43.6553967901,-79.4143942315,57d0b57b498e640a72cbbe26,Birreria Volo,43.65521249025681,-79.41467821598053,Beer Bar,8.7
23,Little Italy,43.6553967901,-79.4143942315,4ad911ccf964a520c41721e3,The Royal Cinema,43.65529399527318,-79.41437780857085,Indie Movie Theater,8.3
24,Little Italy,43.6553967901,-79.4143942315,57d0b2cb498e896e0b51da28,P.G. Clucks Fried Chicken,43.655216371450564,-79.41457092761993,Fried Chicken Joint,8.3
25,Little Italy,43.6553967901,-79.4143942315,4b7e02cbf964a520e1de2fe3,Wild Indigo,43.65508966768918,-79.41431491692796,Bar,8.1
26,Little Italy,43.6553967901,-79.4143942315,4b121fabf964a520258923e3,The Orbit Room,43.65543696942909,-79.41323857170764,Rock Club,8.0
27,Little Italy,43.6553967901,-79.4143942315,4b9c06c4f964a520494236e3,Red Pegasus,43.654973,-79.415108,Gift Shop,7.9
28,Little Italy,43.6553967901,-79.4143942315,587b047c8d8e996e964d2580,Hot Mess,43.655011,-79.414638,Tex-Mex Restaurant,7.9
29,Little Italy,43.6553967901,-79.4143942315,57cef829cd10736c18002c1f,Rudy,43.655041564316875,-79.41482718425685,Burger Joint,7.8
30,Little Italy,43.6553967901,-79.4143942315,4ad4c061f964a52096f720e3,Utopia Cafe & Grill,43.655365385751324,-79.41355681869587,American Restaurant,7.7
